Country Code (ISO3),macro_impact,physical_volume,type,physical_unit,Country Name,gdp2022,relative impact
TUR,21395284372.763313,33640275.30783222,vegetal,tonnes,Turkiye,907118435952.688,0.023585987810173018
TZA,8095738722.484071,15489270.240815127,vegetal,tonnes,Tanzania,75769974505.0106,0.10684626430682917
UGA,1967241720.7406461,6891634.854186543,vegetal,tonnes,Uganda,45565333216.4142,0.043174088322742214
UKR,4154379395.4948373,17431831.460499845,vegetal,tonnes,Ukraine,161989520721.19,0.025645976214999686
URY,996063180.4572588,2069747.1832888369,vegetal,tonnes,Uruguay,70164683290.3776,0.01419607605631221
USA,50769534638.72687,103078212.05017585,vegetal,tonnes,United States,25744100000000.0,0.001972084269355964
UZB,2424221604.028359,5413378.456773595,vegetal,tonnes,Uzbekistan,81140823252.4164,0.029876719348619192
VEN,3344638141.348867,5719796.532747466,vegetal,tonnes,Venezuela,482359318767.703,0.0069339142237233205
VNM,15692711752.317974,35395861.5254612,vegetal,tonnes,Viet Nam,410324028883.325,0.03824468139247134
YEM,1365088038.6146567,1537643.182744817,vegetal,tonnes,Yemen,21606160663.0318,0.0631805002241942
ZAF,4076546452.330177,17131827.326021966,vegetal,tonnes,South Africa,405270850098.738,0.010058819802453075
ZMB,789868010.8663441,2433039.1990815974,vegetal,tonnes,Zambia,29163782140.4858,0.027083867485412052
ZWE,1124421292.8776693,2129780.6144728577,vegetal,tonnes,Zimbabwe,27366627153.0954,0.041087317285662936
AFG,719364403.1821364,8941.607508988,animal,1000 heads,Afghanistan,14502158192.0904,0.04960395505646076
AGO,630972602.4426789,15970.523740028382,animal,1000 heads,Angola,104399746853.401,0.006043813528865122
ALB,361560076.3816805,3757.1414070799997,animal,1000 heads,Albania,18916378860.5488,0.01911359880488199
ARE,661855064.7392982,17386.60093041992,animal,1000 heads,United Arab Emirates,507063968277.74,0.0013052693666783532
ARG,7460892539.63663,43541.070196,animal,1000 heads,Argentina,631133384439.944,0.01182141956609899
ARM,453224383.1841438,3085.4922296500004,animal,1000 heads,Armenia,19513474648.2429,0.023226226561600834
AUS,7806078695.398171,62583.052293400004,animal,1000 heads,Australia,1692956646855.7,0.004610914703513685
AUT,1054227802.0697395,3428.27405257,animal,1000 heads,Austria,470941926750.741,0.0022385515966764167
AZE,666899347.6091156,7711.2576595,animal,1000 heads,Azerbaijan,78807470588.2353,0.008462387418746478
BDI,74650049.48020515,1488.710205444336,animal,1000 heads,Burundi,3338722827.65691,0.02235886395295472
BEL,1063014444.5400028,5678.479789196001,animal,1000 heads,Belgium,583613982019.263,0.0018214341624613727
BEN,192580241.07627612,5478.227259460449,animal,1000 heads,Benin,17425418044.2906,0.01105168556569434
BFA,289985685.9513897,7520.972906738281,animal,1000 heads,Burkina Faso,18820219331.2261,0.015408199067598096
BGD,1709156485.4478927,44331.531463002895,animal,1000 heads,Bangladesh,460131688909.301,0.003714494190781095
BGR,409378884.93267155,4463.6611557,animal,1000 heads,Bulgaria,90346169914.9349,0.004531225676950342
BHR,0.0,0.0,animal,1000 heads,Bahrain,44383297872.3404,0.0
BHS,20740695.70955498,2731.6839453125,animal,1000 heads,Bahamas,13136400000.0,0.0015788721194204638
BIH,48944815.69821443,1019.0215151367187,animal,1000 heads,Bosnia and Herzegovina,24534663636.1778,0.001994925075151323
BLR,878457536.0150808,3708.717382,animal,1000 heads,Belarus,73775179924.603,0.011907223227552272
BLZ,42997407.118540026,862.7360386149999,animal,1000 heads,Belize,2830507575.6841,0.015190705542679235
BOL,2289636760.908678,84287.779045719,animal,1000 heads,Bolivia,44008282879.8842,0.05202740509458166
BRA,27846953953.887596,325544.30166000006,animal,1000 heads,Brazil,1951923942083.32,0.014266413436256174
BRB,45665122.919256866,2924.025528869629,animal,1000 heads,Barbados,5840673700.0,0.007818468427581713
BTN,36533209.59774338,503.70741693,animal,1000 heads,Bhutan,2898227713.22315,0.012605362039380407
BWA,82883578.19124462,1061.7780486631393,animal,1000 heads,Botswana,20321958850.0363,0.004078523079535542
CAF,199863628.94604748,3964.395838611603,animal,1000 heads,Central African Republic,2382618615.01694,0.08388402058406082
CAN,3044580552.6890073,28380.8552254,animal,1000 heads,Canada,2161483369422.01,0.0014085607114817365
CHE,505103652.3650107,1346.6875604,animal,1000 heads,Switzerland,818426550206.45,0.0006171643041609502
CHL,3313500265.080707,56752.10574385872,animal,1000 heads,Chile,302116539409.03,0.010967622863555378
CHN,75685279191.5349,1007637.8574,animal,1000 heads,China,17881783387000.9,0.004232535287646648
