Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
GMB,270,Ct,85449.953125,487575.62,50102633.26566666
GMB,270,Dk,7649.94970703125,30945.729,
GMB,270,Gt,81128.765625,363305.44,7461424.08
GMB,270,Ho,642.7099609375,5062.5576,
GMB,270,Pg,5090.82861328125,10654.946,2175619.6548
GMB,270,Sh,10759.7177734375,59214.047,4822807.77
GEO,268,Bf,5280.8984,18936.762,
GEO,268,Ch,1346286.8,6652528.5,164005452.45323077
GEO,268,Ct,341878.44,973402.4,414203969.21568
GEO,268,Dk,421.71948,549.97473,214160.0
GEO,268,Gt,19528.504,53354.695,1654224.0000000002
GEO,268,Ho,16681.162,39796.586,877463.4299999999
GEO,268,Pg,46858.477,169865.34,76348845.0
GEO,268,Sh,339660.6,860173.5,40914750.0
DEU,276,Bf,3217.5974,7969.0884,0.0
DEU,276,Ch,45679656.0,140159500.0,5633483338.378378
DEU,276,Ct,5267753.0,12645373.0,28934865874.625
DEU,276,Dk,892388.44,2490411.2,140342400.0
DEU,276,Gt,51869.02,111954.04,3043345.0
DEU,276,Ho,177524.12,423364.88,
DEU,276,Pg,8918153.0,27736108.0,10357284365.333334
DEU,276,Sh,679241.75,1581124.8,198599226.5625
GHA,288,Bf,0.0,0.0,
GHA,288,Ch,11028322.0,71552530.0,379648718.876
GHA,288,Ct,109640.9296875,1723494.0,246811854.2254
GHA,288,Dk,44737.5390625,317774.8,
GHA,288,Gt,860425.8125,6348361.0,172177172.912
GHA,288,Ho,505.5329895019531,3042.193,
GHA,288,Pg,101510.46875,725123.4,99295954.9614
GHA,288,Sh,600411.75,4516050.5,235499863.731
GRC,300,Bf,2751.2292,5154.3926,0.0
GRC,300,Ch,14289658.0,34134028.0,672006128.125
GRC,300,Ct,299584.28,601669.8,705333225.625
GRC,300,Dk,13052.826,25728.537,191376.0
GRC,300,Gt,2112687.8,4087585.5,707938434.4444444
GRC,300,Ho,6980.681,14326.843,
GRC,300,Pg,320987.56,707055.3,182647698.6666667
GRC,300,Sh,4398873.0,8668604.0,1630144360.3750002
GRD,308,Bf,0.0,0.0,
GRD,308,Ch,270000.0,270000.0,7517216.63855077
GRD,308,Ct,4492.0,4492.0,1004366.93087
GRD,308,Dk,0.0,0.0,
GRD,308,Gt,7197.0,7197.0,175749.70285714284
GRD,308,Ho,30.0,30.0,
GRD,308,Pg,2945.0,2945.0,887859.612
GRD,308,Sh,13732.0,13732.0,766294.5736
GTM,320,Bf,999.67206,1754.0596,
GTM,320,Ch,17027202.0,35904496.0,1655590209.5325325
GTM,320,Ct,2273443.2,3679476.0,1490266961.4247
GTM,320,Dk,208698.17,325924.8,
GTM,320,Gt,75850.74,112614.87,2603608.285142857
GTM,320,Ho,83673.16,129118.78,11832884.88
GTM,320,Pg,1528840.9,2880696.8,142500988.2405
GTM,320,Sh,358087.9,585119.2,13143463.3409
GIN,324,Bf,0.0,0.0,
GIN,324,Ch,13333588.0,28390670.0,135229832.4788
GIN,324,Ct,2794867.5,6410255.0,613888492.1386666
