Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
ERI,232,Ch,466373.875,1225243.1,9894958.4052
ERI,232,Ct,713526.625,2094617.2,243045851.797
ERI,232,Dk,0.0,0.0,
ERI,232,Gt,568643.75,1832336.0,46843913.75
ERI,232,Ho,17.965585708618164,17.965586,
ERI,232,Pg,1706.04052734375,2214.4048,
ERI,232,Sh,919721.25,2299535.5,50451135.3885
EST,233,Bf,0.0,0.0,0.0
EST,233,Ch,182380.734375,2245997.5,91951192.39864863
EST,233,Ct,51200.2578125,263159.94,651226236.75
EST,233,Dk,2783.388427734375,9877.827,0.0
EST,233,Gt,1502.2852783203125,4541.506,745604.8888888889
EST,233,Ho,1633.04150390625,6251.782,
EST,233,Pg,73804.46875,356853.25,99682616.0
EST,233,Sh,24898.59765625,84448.44,1688875.3125
ETH,231,Bf,0.0,0.0,
ETH,231,Ch,18445328.0,60498020.0,300492980.8664
ETH,231,Ct,19231708.0,57858996.0,5620549822.292667
ETH,231,Dk,0.0,140.5657,
ETH,231,Gt,8461986.0,29615280.0,982064510.432
ETH,231,Ho,875315.25,2082248.9,
ETH,231,Pg,10678.021484375,34675.055,7849747.069200001
ETH,231,Sh,9395728.0,28795548.0,759953831.5035
FIN,246,Bf,0.3146741,0.6773409,0.0
FIN,246,Ch,1113489.2,7221709.0,587076082.5810812
FIN,246,Ct,175268.44,902623.8,2110712864.275
FIN,246,Dk,3.4664948,7.539105,0.0
FIN,246,Gt,719.11273,4465.6587,0.0
FIN,246,Ho,10408.406,73537.055,406495.8666666666
FIN,246,Pg,191730.16,1196091.2,393104149.3333334
FIN,246,Sh,25919.998,151087.8,8256723.75
FRA,250,Bf,24.664818,29.942102,0.0
FRA,250,Ch,28951040.0,246144200.0,3058622786.875
FRA,250,Ct,4238771.5,19367052.0,25249448020.800003
FRA,250,Dk,3970137.0,27283164.0,751724928.0
FRA,250,Gt,314472.34,1257692.0,1015447219.8333334
FRA,250,Ho,106019.99,396847.75,
FRA,250,Pg,1843842.1,13066808.0,4962824592.0
FRA,250,Sh,2366025.0,7034662.0,947170203.4
GAB,266,Bf,0.0,0.0,
GAB,266,Ch,928547.875,3185328.5,17526369.897184618
GAB,266,Ct,11674.46484375,38818.633,9937265.29716
GAB,266,Dk,1.5044124126434326,1.671487,
GAB,266,Gt,33374.3046875,109607.55,2284682.4597142856
GAB,266,Ho,0.0826621353626251,0.15141077,
GAB,266,Pg,67749.7421875,217747.9,13183822.6575
GAB,266,Sh,62181.9296875,215641.6,5544849.1453
GMB,270,Bf,0.0,0.0,
GMB,270,Ch,619331.6875,1314760.8,5871422.0428
GMB,270,Ct,137091.78125,487575.62,50102633.26566666
GMB,270,Dk,10806.66015625,30945.729,
GMB,270,Gt,123406.5234375,363305.44,7461424.08
GMB,270,Ho,1126.361328125,5062.5576,
GMB,270,Pg,6957.6064453125,10654.946,2175619.6548
GMB,270,Sh,19628.65234375,59214.047,4822807.77
GEO,268,Bf,2992.91,18936.762,
GEO,268,Ch,788074.56,6652528.5,164005452.45323077
GEO,268,Ct,210746.7,973402.4,414203969.21568
GEO,268,Dk,344.85168,549.97473,214160.0
GEO,268,Gt,12717.145,53354.695,1654224.0000000002
GEO,268,Ho,7305.8027,39796.586,877463.4299999999
GEO,268,Pg,21285.19,169865.34,76348845.0
GEO,268,Sh,294001.06,860173.5,40914750.0
DEU,276,Bf,3036.2935,7969.0884,0.0
DEU,276,Ch,58881930.0,140159500.0,5633483338.378378
DEU,276,Ct,4925324.0,12645373.0,28934865874.625
DEU,276,Dk,1083758.5,2490411.2,140342400.0
DEU,276,Gt,46127.133,111954.04,3043345.0
DEU,276,Ho,166011.31,423364.88,
DEU,276,Pg,10262311.0,27736108.0,10357284365.333334
DEU,276,Sh,637367.9,1581124.8,198599226.5625
GHA,288,Bf,0.0,0.0,
GHA,288,Ch,21758568.0,71552530.0,379648718.876
GHA,288,Ct,389823.6875,1723494.0,246811854.2254
GHA,288,Dk,77814.375,317774.8,
GHA,288,Gt,1878608.5,6348361.0,172177172.912
GHA,288,Ho,901.32763671875,3042.193,
GHA,288,Pg,186706.375,725123.4,99295954.9614
GHA,288,Sh,1199484.75,4516050.5,235499863.731
GRC,300,Bf,2245.4011,5154.3926,0.0
GRC,300,Ch,10001858.0,34134028.0,672006128.125
GRC,300,Ct,243859.39,601669.8,705333225.625
GRC,300,Dk,12277.854,25728.537,191376.0
GRC,300,Gt,1637716.1,4087585.5,707938434.4444444
GRC,300,Ho,5529.6333,14326.843,
GRC,300,Pg,232339.36,707055.3,182647698.6666667
GRC,300,Sh,3350972.8,8668604.0,1630144360.3750002
GRD,308,Bf,0.0,0.0,
GRD,308,Ch,270000.0,270000.0,7517216.63855077
GRD,308,Ct,4492.0,4492.0,1004366.93087
GRD,308,Dk,0.0,0.0,
GRD,308,Gt,7197.0,7197.0,175749.70285714284
GRD,308,Ho,30.0,30.0,
GRD,308,Pg,2945.0,2945.0,887859.612
GRD,308,Sh,13732.0,13732.0,766294.5736
GTM,320,Bf,732.83875,1754.0596,
GTM,320,Ch,9902693.0,35904496.0,1655590209.5325325
GTM,320,Ct,1463719.8,3679476.0,1490266961.4247
GTM,320,Dk,127442.98,325924.8,
GTM,320,Gt,40577.656,112614.87,2603608.285142857
GTM,320,Ho,49432.887,129118.78,11832884.88
GTM,320,Pg,862954.9,2880696.8,142500988.2405
GTM,320,Sh,196152.97,585119.2,13143463.3409
GIN,324,Bf,0.0,0.0,
GIN,324,Ch,11024521.0,28390670.0,135229832.4788
GIN,324,Ct,2322158.75,6410255.0,613888492.1386666
GIN,324,Dk,84951.1484375,382312.5,
GIN,324,Gt,925636.3125,2674374.8,132365083.466
GIN,324,Ho,665.0576171875,3307.0664,
GIN,324,Pg,47200.26171875,120343.59,16031353.14
GIN,324,Sh,766689.1875,2227975.5,89841941.46
GNB,624,Bf,0.0,0.0,
GNB,624,Ch,397970.5,2025948.2,13147721.74
GNB,624,Ct,136306.71875,693250.9,60919422.762666665
GNB,624,Dk,0.0,81.07469,
GNB,624,Gt,159936.59375,768366.4,10236299.71
GNB,624,Ho,587.9288940429688,2299.1455,
GNB,624,Pg,62363.359375,457871.66,43430461.9596
GNB,624,Sh,99743.203125,477729.44,10157788.008
GUY,328,Bf,0.03767663,2.0766113,
GUY,328,Ch,10427978.0,24937908.0,166642499.4773077
GUY,328,Ct,41305.945,111776.375,37829643.37
GUY,328,Dk,0.027728576,835.3597,
